text,label
Secret lab creates safety machine to control minds.,FAKE
Dragon spotted in Pune during safety festival.,FAKE
University researchers publish peer-reviewed study on vaccination.,REAL
Ministry issues guidelines for vaccination across Mumbai.,REAL
Secret lab creates finance machine to control minds.,FAKE
Official report shows energy improved in 2015.,REAL
University researchers publish peer-reviewed study on transport.,REAL
University researchers publish peer-reviewed study on energy.,REAL
Official report shows energy improved in 2024.,REAL
Celebrity claims education cures all diseases instantly.,FAKE
Official report shows safety improved in 2025.,REAL
Aliens confirm plan to visit Mumbai for climate.,FAKE
Ministry issues guidelines for finance across Jaipur.,REAL
Ministry issues guidelines for transport across Chennai.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Local authorities schedule vaccination drive next week.,REAL
Celebrity claims climate cures all diseases instantly.,FAKE
Dragon spotted in Pune during energy festival.,FAKE
Government announces new climate initiative in Jaipur.,REAL
Aliens confirm plan to visit Jaipur for energy.,FAKE
Official report shows energy improved in 2024.,REAL
Official report shows transport improved in 2025.,REAL
Dragon spotted in Bengaluru during finance festival.,FAKE
Time traveler warns of health disaster tomorrow.,FAKE
Official report shows finance improved in 2023.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Government announces new health initiative in Jaipur.,REAL
Secret lab creates transport machine to control minds.,FAKE
Local authorities schedule transport drive next week.,REAL
Government announces new safety initiative in Hyderabad.,REAL
Time traveler warns of education disaster tomorrow.,FAKE
Time traveler warns of education disaster tomorrow.,FAKE
Secret lab creates transport machine to control minds.,FAKE
Aliens confirm plan to visit Jaipur for health.,FAKE
Government announces new climate initiative in Jaipur.,REAL
Time traveler warns of health disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on transport.,REAL
Government announces new transport initiative in Chennai.,REAL
Dragon spotted in Delhi during vaccination festival.,FAKE
Government announces new health initiative in Kolkata.,REAL
Government announces new transport initiative in Hyderabad.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Local authorities schedule health drive next week.,REAL
Celebrity claims vaccination cures all diseases instantly.,FAKE
Celebrity claims health cures all diseases instantly.,FAKE
Secret lab creates safety machine to control minds.,FAKE
Time traveler warns of transport disaster tomorrow.,FAKE
University researchers publish peer-reviewed study on finance.,REAL
Time traveler warns of finance disaster tomorrow.,FAKE
Dragon spotted in Bengaluru during health festival.,FAKE
Time traveler warns of education disaster tomorrow.,FAKE
Ministry issues guidelines for safety across Pune.,REAL
Aliens confirm plan to visit Chennai for transport.,FAKE
Celebrity claims health cures all diseases instantly.,FAKE
Ministry issues guidelines for energy across Pune.,REAL
Dragon spotted in Mumbai during education festival.,FAKE
Ministry issues guidelines for health across Jaipur.,REAL
University researchers publish peer-reviewed study on transport.,REAL
Dragon spotted in Hyderabad during finance festival.,FAKE
Dragon spotted in Bengaluru during safety festival.,FAKE
Aliens confirm plan to visit Pune for energy.,FAKE
Secret lab creates transport machine to control minds.,FAKE
Government announces new finance initiative in Chennai.,REAL
Local authorities schedule transport drive next week.,REAL
Celebrity claims transport cures all diseases instantly.,FAKE
Time traveler warns of education disaster tomorrow.,FAKE
Official report shows safety improved in 2016.,REAL
Secret lab creates health machine to control minds.,FAKE
Celebrity claims education cures all diseases instantly.,FAKE
Local authorities schedule health drive next week.,REAL
Official report shows climate improved in 2022.,REAL
